Date	Chrome(3544246)	Mobile_Safari(3366834)	Firefox(3116963)	Chrome_Mobile(1609034)	Samsung_Internet(982590)	Safari(844819)	IE(740226)	Edge(645279)	Firefox_Mobile(218673)	Opera(179716)	Chrome_Mobile_WebView(55558)	Android(39740)	Amazon_Silk(22529)	Opera_Mobile(20330)	Edge_Mobile(17179)	IE_Mobile(13570)	Yandex_Browser(11331)	Vivaldi(9442)	Chromium(7789)	Mobile_Safari_UI/WKWebView(7375)	Chrome_Mobile_iOS(6767)	Pale_Moon(6589)	Coc_Coc(4954)	Iron(4236)	SeaMonkey(3895)	Maxthon(3693)	UC_Browser(2701)	BlackBerry_WebKit(2395)	agent_error(1791)	Firefox_iOS(1461)	Dragon(1203)	Puffin(985)	Facebook(808)	Sogou_Explorer(778)	HeadlessChrome(764)	Other(730)	Thunderbird(396)	Opera_Mini(386)	PhantomJS(341)	Apple_Mail(330)	QQ_Browser(282)	Mail.ru_Chromium_Browser(206)	Crosswalk(183)	MobileIron(178)	Seznam_prohle(172)	Opera_Neon(159)	Googlebot(154)	K-Meleon(147)	QQ_Browser_Mobile(113)	Iceweasel(102)	Epiphany(93)	QupZilla(92)	Konqueror(90)	Midori(63)	YandexAntivirus(49)	Avant(37)	AppEngine-Google(35)	Netscape(34)	Sleipnir(18)	Lunascape(17)	YandexSearch(16)	AOL(14)	YandexMobileBot(12)	WebKit_Nightly(11)	Nokia_Browser(10)	Opera_Coast(8)	Pinterest(8)	ThunderBrowse(8)	iCab(8)	Electron(7)	HbbTV(7)	Otter(7)	Mediapartners-Google(6)	webOS_Browser(4)	Lynx(3)	Conkeror(2)	Outlook-iOS(2)	Crazy_Browser(1)	Dolfin(1)	NSPlayer(1)	YandexBot(1)	Zune(1)	
2017-12-11	0.832	0.771	0.812	0.716	0.737	0.705	0.596	0.837	0.552	0.794	0.734	0.655	0.726	0.745	0.576	0.474	0.933	0.916	0.756	0.903	0.781	1.000	0.833	0.852	0.538	0.692	0.900	0.476	0.000	0.667	1.000	0.875	1.000	0.000	0.000	0.400	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
2017-12-12	0.730	0.613	0.719	0.589	0.594	0.641	0.407	0.714	0.521	0.673	0.583	0.481	0.815	0.635	0.483	0.333	0.867	0.489	0.888	0.600	0.750	0.500	0.750	0.500	0.467	0.600	0.596	0.273	0.000	0.667	0.000	0.500	0.500	0.000	0.000	0.000	0.571	0.000	0.000	0.667	0.000	0.333	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
2017-12-13	0.704	0.597	0.665	0.562	0.597	0.610	0.475	0.649	0.446	0.654	0.475	0.502	0.390	0.640	0.450	0.355	0.851	0.811	0.875	0.385	0.615	0.000	0.854	0.529	0.407	0.769	0.677	0.400	0.000	0.250	0.889	0.000	0.000	0.000	0.000	1.000	0.333	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
2017-12-14	0.630	0.573	0.654	0.569	0.579	0.609	0.402	0.611	0.513	0.550	0.602	0.341	0.590	0.477	0.464	0.316	0.718	0.267	0.893	0.857	0.400	0.000	0.857	0.667	0.000	0.000	0.857	0.400	0.000	0.643	0.667	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.731	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
2017-12-15	0.899	0.860	0.867	0.789	0.809	0.804	0.657	0.921	0.489	0.877	0.735	0.641	1.000	0.944	0.722	0.522	0.833	1.000	0.944	1.000	0.970	0.000	1.000	1.000	1.000	0.500	0.750	0.500	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
2017-12-16	0.755	0.667	0.740	0.662	0.675	0.591	0.580	0.752	0.512	0.673	0.606	0.617	0.778	0.704	0.568	0.429	0.750	0.745	0.765	0.542	0.750	0.000	0.688	0.815	0.556	0.962	0.560	0.312	0.000	0.750	0.889	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
2017-12-17	0.602	0.511	0.691	0.560	0.562	0.604	0.425	0.614	0.562	0.561	0.595	0.435	0.600	0.524	0.429	0.262	0.393	0.613	0.667	0.750	0.450	0.652	0.778	0.667	0.600	0.000	0.000	0.444	0.000	0.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
2017-12-18	0.715	0.640	0.734	0.623	0.643	0.614	0.535	0.687	0.493	0.644	0.632	0.521	0.705	0.605	0.538	0.281	0.600	0.604	0.581	0.786	0.606	0.667	0.897	0.667	1.000	0.750	0.429	0.375	0.000	0.562	1.000	0.286	1.000	0.000	1.000	0.500	0.500	0.000	0.000	0.000	0.000	0.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.667	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
2017-12-19	0.790	0.669	0.760	0.655	0.686	0.675	0.511	0.758	0.503	0.803	0.657	0.562	0.771	0.655	0.589	0.494	0.794	0.850	0.768	0.548	0.500	0.000	0.948	0.800	0.842	0.923	0.400	0.357	0.000	0.000	1.000	0.000	0.333	0.000	0.000	0.333	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
2017-12-20	0.860	0.757	0.811	0.741	0.745	0.692	0.557	0.859	0.530	0.768	0.683	0.572	0.806	0.740	0.564	0.494	0.667	0.877	0.886	0.783	0.844	1.000	1.000	0.927	0.814	0.867	0.000	0.550	0.000	0.800	0.000	0.000	1.000	0.000	0.000	1.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
