safari/604.1 safari/602.1 safari/604.3.5 safari/604.4.7 safari/601.1 safari/603.3.8 safari/604.1.38 safari/537.86.7 safari/604.5.6 safari/537 safari/601.7.7 safari/603.2.4 safari/600.1.4 safari/603.1.30 safari/602.4.8 safari/603.2.5 safari/602.3.12 safari/602.1.50 safari/602.2.14 safari/601.6.17 safari/537.36 safari/537.35+ safari/600.8.9 safari/601.7.8 safari/601.5.17 safari/601.4.4 safari/534.30 safari/601.3.9 safari/601.2.7 safari/604.5.2 safari/600.7.12 safari/600.6.3 safari/604.4.6 safari/601.1.46 safari/601.1.56 safari/604.4.5 safari/600.1.25 safari/534.30; safari/7046a194a safari/605.1.15 safari/537.86.6 safari/604.5.5 safari/600.3.18 safari/604.5.3 safari/600.5.17 safari/604.3.4 safari/600.4.10 safari/537.86.4 safari/600.2.5 safari/537.85.16 safari/537.86.5 safari/602.1.1 safari/8536.25 safari/538.1 safari/537.16 safari/9537.53 safari/600.4.8 safari/604.3.1 safari/7534.48.3 safari safari/537.86.2 safari/6533.18.5 safari/537.21 safari/537.77.4 safari/537.78.2 safari/537.85.17 safari/537.86.3 safari/602.4.2 safari/602.4.6 safari/605.1 safari/525.20.1 safari/531.21.10 safari/533.4 safari/537.86.1 safari/600.1.4) safari/603.1.13 safari/604.5.100 safari/605.1.12 safari/10603.3.8 safari/13604.3.5 safari/535.19 safari/600.4.5 safari/604.1.31 safari/604.4.7.1.3 safari/604.5.1 safari/605.1.13 safari/999.9 
2017-11-23 3223 670 624 5 247 85 40 44 0 20 13 15 15 12 9 7 5 7 5 1 3 0 4 5 0 2 2 3 3 0 1 1 0 0 1 0 1 1 0 0 0 0 1 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-11-24 4217 898 733 1 322 132 31 44 0 16 17 17 19 6 8 10 6 5 3 3 1 2 3 4 5 2 4 1 2 0 1 0 0 0 0 0 1 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 
2017-11-25 3644 761 595 6 322 89 30 35 0 24 12 10 9 11 8 10 6 2 5 1 3 5 1 4 0 3 1 2 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 
2017-11-26 4707 905 698 4 341 101 38 46 0 18 11 13 13 9 13 8 14 6 7 1 1 7 4 1 1 3 2 1 0 0 3 3 0 1 2 0 2 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-11-27 3379 653 656 3 281 134 41 47 0 23 27 16 14 12 7 12 6 4 15 7 0 2 2 3 3 1 2 1 2 0 1 1 1 1 0 1 2 0 2 0 0 0 1 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-11-28 2815 589 653 6 194 114 41 34 0 20 22 18 9 12 7 10 5 3 8 7 2 3 4 2 3 2 1 0 2 0 1 1 0 2 3 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 
2017-11-29 1960 391 500 3 165 90 39 31 0 14 18 15 6 14 6 14 6 5 5 3 2 0 3 4 4 2 1 1 1 0 0 1 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-11-30 3336 598 640 5 220 104 50 28 0 19 21 12 8 7 7 7 4 6 11 4 2 4 4 4 3 4 1 0 4 0 1 0 0 0 1 1 1 0 0 0 2 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2017-12-1 3546 599 594 3 242 77 34 32 0 17 14 13 12 10 16 5 8 3 4 2 0 3 5 2 4 1 1 0 1 0 2 1 1 0 0 1 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 
2017-12-2 2911 442 441 8 192 76 19 19 0 20 8 8 10 8 7 4 2 3 1 0 1 1 2 1 0 1 2 0 2 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
