Browser 2_Crosswalk 3_Chrome 4_SeaMonkey 5_Maxthon 6_AppEngine-Google 7_Firefox_Mobile 8_Other 9_Apple_Mail 10_QQ_Browser 11_Android 12_QQ_Browser_Mobile 13_BlackBerry_WebKit 14_Mobile_Safari_UI/WKWebView 15_Mobile_Safari 16_Mail.ru_Chromium_Browser 17_Samsung_Internet 18_Opera 19_Facebook 20_Safari 21_IE_Mobile 22_Pale_Moon 23_Netscape 24_Chrome_Mobile_iOS 25_Konqueror 26_UC_Browser 27_Amazon_Silk 28_HeadlessChrome 29_Thunderbird 30_Chrome_Mobile 31_Dragon 32_Edge_Mobile 33_Opera_Mobile 34_Puffin 35_Edge 36_Iron 37_IE 38_MobileIron 39_Vivaldi 40_Firefox 41_Yandex_Browser 42_Coc_Coc 43_Chromium 44_Seznam_prohle 45_Opera_Neon 46_Firefox_iOS 47_ThunderBrowse 48_Chrome_Mobile_WebView 49_Sogou_Explorer 50_QupZilla 
2018-1-12 0 32.1565886054 80.0 66.6666666667 0 42.3728813559 100.0 0 0 45.652173913 0 0 42.8571428571 46.3071512309 0 39.4534585824 41.7142857143 0 27.6951672862 36.3636363636 0 0 42.8571428571 0 100.0 42.8571428571 0 0 41.2569690826 0 47.3684210526 61.9047619048 0 40.7042253521 33.3333333333 48.4899328859 0 80.0 16.1084970938 20.0 0 42.8571428571 0 0 0 0 34.328358209 0 100.0 
2018-1-13 0 35.9930615785 40.0 33.3333333333 0 44.8275862069 0 0 0 39.6551724138 0 33.3333333333 25.0 52.023261449 0 40.2777777778 44.8863636364 100.0 24.3951612903 44.4444444444 100.0 0 83.3333333333 0 25.0 45.0 0 0 45.6230283912 100.0 39.1304347826 37.5 0 45.261669024 25.0 54.5054945055 0 0 21.857099789 38.4615384615 25.0 33.3333333333 0 0 0 0 51.0204081633 0 0 
2018-1-14 0 31.2929061785 0 0 0 46.6666666667 100.0 0 0 46.2962962963 0 100.0 100.0 48.2909090909 0 36.8988391376 50.3759398496 0 29.0909090909 23.0769230769 0 0 71.4285714286 0 100.0 25.0 0 100.0 43.1291816778 0 72.7272727273 42.4242424242 33.3333333333 38.5496183206 33.3333333333 47.7966101695 0 44.4444444444 20.6811653673 33.3333333333 0 20.0 0 0 0 0 49.3506493506 0 0 
2018-1-15 0 30.1057317752 50.0 0 0 41.0112359551 0 0 0 48.3870967742 0 100.0 50.0 49.5233050847 0 36.8484848485 52.8846153846 0 23.8235294118 33.3333333333 0 0 66.6666666667 0 50.0 33.3333333333 0 0 42.3952975753 0 25.0 37.5 0 39.3650793651 33.3333333333 49.765258216 0 42.8571428571 18.2915506035 50.0 0 66.6666666667 0 0 100.0 0 48.5714285714 0 0 
2018-1-16 0 28.6573780874 0 100.0 0 38.2608695652 100.0 0 0 33.9622641509 0 66.6666666667 20.0 45.9386767079 0 30.086410055 46.7153284672 0 24.0506329114 50.0 66.6666666667 0 66.6666666667 0 100.0 21.4285714286 0 0 35.9550561798 0 61.5384615385 28.0 0 36.0182370821 25.0 38.9084507042 0 80.0 16.9645473191 30.7692307692 16.6666666667 50.0 0 0 33.3333333333 0 36.6197183099 0 0 
2018-1-17 0 27.8661903215 50.0 66.6666666667 0 30.6451612903 0 0 0 32.5581395349 0 0 75.0 42.5177414378 0 29.0648694187 52.0833333333 0 23.4404536862 44.4444444444 100.0 0 50.0 0 0 25.0 0 0 33.5413416537 0 30.0 38.7096774194 0 31.1874105866 25.0 42.9065743945 0 0 15.8579560857 22.2222222222 100.0 0 0 0 0 0 31.3725490196 0 0 
2018-1-18 0 24.7535211268 0 33.3333333333 0 24.1206030151 0 0 0 31.7073170732 0 100.0 66.6666666667 37.9642365887 0 25.7340241796 29.8611111111 0 20.1716738197 26.6666666667 0 0 62.5 0 0 35.2941176471 0 0 32.1711568938 0 33.3333333333 42.8571428571 100.0 27.065026362 25.0 34.0707964602 0 40.0 15.2087475149 20.0 40.0 10.0 0 0 0 0 26.8656716418 0 0 
2018-1-19 0 24.5778045838 0 50.0 0 30.0 0 0 0 32.7272727273 0 100.0 50.0 38.5456533625 0 22.3684210526 38.2352941176 0 24.9122807018 27.2727272727 100.0 100.0 37.5 0 0 80.0 0 0 29.0015052684 0 33.3333333333 17.3913043478 0 27.665317139 16.6666666667 36.3924050633 0 16.6666666667 15.6675749319 25.0 25.0 28.5714285714 0 0 100.0 0 25.0 0 0 
2018-1-20 0 22.9090909091 66.6666666667 60.0 0 29.0196078431 0 0 0 30.9523809524 0 75.0 33.3333333333 39.5748987854 0 27.6710222905 37.5838926174 0 22.2698072805 30.0 0 0 40.0 0 0 34.7826086957 0 100.0 31.2813497492 0 29.4117647059 20.8333333333 0 27.0569620253 50.0 37.0466321244 0 16.6666666667 13.4248210024 33.3333333333 0 50.0 0 100.0 40.0 0 19.7183098592 0 0 
2018-1-21 0 24.2015968064 0 66.6666666667 0 25.4098360656 0 0 0 28.5714285714 0 100.0 14.2857142857 38.8930441286 0 23.8970588235 36.170212766 33.3333333333 19.6280991736 36.3636363636 0 0 62.5 0 0 66.6666666667 0 0 31.1584553928 0 30.4347826087 19.3548387097 0 29.1245791246 25.0 33.630952381 0 25.0 14.5084745763 25.0 33.3333333333 66.6666666667 0 0 0 0 18.6440677966 0 0 
