Browser 2_Crosswalk 3_Chrome 4_SeaMonkey 5_Maxthon 6_AppEngine-Google 7_Firefox_Mobile 8_Other 9_Apple_Mail 10_QQ_Browser 11_Android 12_QQ_Browser_Mobile 13_BlackBerry_WebKit 14_Mobile_Safari_UI/WKWebView 15_Mobile_Safari 16_Mail.ru_Chromium_Browser 17_Samsung_Internet 18_Chrome_Mobile_WebView 19_Electron 20_Facebook 21_Sogou_Explorer 22_Safari 23_IE_Mobile 24_Pale_Moon 25_Netscape 26_Chrome_Mobile_iOS 27_Konqueror 28_Amazon_Silk 29_UC_Browser 30_Opera 31_HeadlessChrome 32_Thunderbird 33_Chrome_Mobile 34_Dragon 35_Edge_Mobile 36_Opera_Mobile 37_Puffin 38_Edge 39_Iron 40_IE 41_MobileIron 42_Vivaldi 43_Firefox 44_Yandex_Browser 45_Coc_Coc 46_Seznam_prohle 47_Opera_Neon 48_Firefox_iOS 49_ThunderBrowse 50_Chromium 51_QupZilla 
2018-1-2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2018-1-3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2018-1-4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2018-1-5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2018-1-6 0 8.42545563191 6.25 9.09090909091 0 5.03401360544 14.2857142857 0 0 6.50406504065 0 0 7.69230769231 6.6689045541 25.0 5.69489524934 7.82122905028 0 0 0 10.2012491325 4.87804878049 0 0 12.5 0 4.93827160494 0 4.93468795356 0 0 7.84383954155 12.5 3.84615384615 4.13223140496 0 5.47866205306 13.0434782609 6.05504587156 0 10.5263157895 4.59600433028 16.0 9.52380952381 0 0 0 0 4.54545454545 0 
2018-1-7 0 10.3184486746 0 0 0 4.76947535771 0 0 0 5.4347826087 0 0 0 10.5696934644 0 7.40007914523 7.43801652893 0 0 20.0 14.5339652449 5.88235294118 0 0 9.09090909091 20.0 8.19672131148 0 5.18783542039 0 0 8.56148491879 12.5 6.3829787234 0 0 5.3651266766 10.5263157895 9.05459387483 0 3.0303030303 5.95238095238 4.54545454545 0 0 0 11.1111111111 0 5.0 0 
2018-1-8 0 20.7028852056 22.2222222222 0 0 7.44466800805 0 0 20.0 8.10810810811 0 0 10.0 9.35489193202 0 9.98600093327 11.8181818182 0 0 0 20.3172205438 9.67741935484 0 0 8.82352941176 0 8.33333333333 0 10.5708245243 50.0 0 9.91646456481 0 16.6666666667 2.94117647059 16.6666666667 10.8508977361 11.7647058824 19.3470374849 0 11.1111111111 11.0789444383 9.52380952381 0 0 0 0 0 30.0 0 
2018-1-9 0 18.8055165965 0 11.1111111111 0 23.0902777778 0 0 0 18.6046511628 0 0 10.0 21.7702342545 0 21.3020189534 21.4814814815 0 25.0 20.0 24.7619047619 20.0 0 0 11.1111111111 0 23.5294117647 0 15.1696606786 0 28.5714285714 20.4076559781 0 17.5 14.5161290323 0 19.5506982392 15.7894736842 27.1922767498 0 11.1111111111 15.7284614671 4.0 0 0 0 0 0 7.69230769231 0 
2018-1-10 0 12.1949054762 9.09090909091 12.5 0 16.6409861325 14.2857142857 20.0 0 16.5289256198 0 0 15.7894736842 14.2681047766 0 15.1954976303 13.8121546961 0 22.2222222222 0 14.8587055606 3.22580645161 0 0 9.375 0 12.6582278481 22.2222222222 11.7857142857 0 14.2857142857 14.8848092153 16.6666666667 8.82352941176 13.7931034483 0 11.7539863326 0 15.3937240971 0 10.7142857143 9.2784992785 12.9032258065 5.55555555556 0 0 0 50.0 8.33333333333 0 
2018-1-11 0 12.833545108 13.3333333333 8.69565217391 0 19.6385542169 14.2857142857 0 0 15.0943396226 20.0 22.2222222222 4.7619047619 17.6033327888 0 16.4635603345 17.2093023256 0 22.2222222222 0 15.925058548 14.7058823529 0 0 12.9032258065 0 9.18367346939 0 14.1984732824 0 14.2857142857 17.5464037123 0 26.0 23.3766233766 0 14.3397654181 14.2857142857 19.3448428508 20.0 21.6216216216 12.1545226131 17.0731707317 5.26315789474 0 0 9.09090909091 0 7.31707317073 25.0 
